Check/EFT #,Payer,Payee,Check/EFT Date,Received by Availity,Check/EFT Amount
AR0001900884,"HMO PARTNERS DBA HEALTH ADVANTAGE","RAJENDRA MEHTA, MD, PC",11/14/2022,11/07/2022,24.88
2022110712400221063666786,"BLUE CARE NETWORK OF MICHIGAN","LAITH POTROUS MD PLLC",11/14/2022,11/08/2022,442.18
2022110713000635066559267,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","TRANSITIONAL CARE SERVICES LLC",11/14/2022,11/08/2022,39.14
2022110711900503066560189,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","LAITH POTROUS MD PLLC",11/14/2022,11/08/2022,139.48
2022110713000212063663830,"BLUE CARE NETWORK OF MICHIGAN","ROSEVILLE URGENT CARE PC",11/14/2022,11/08/2022,3210.00
2022110712100038063665203,"BLUE CARE NETWORK OF MICHIGAN","TRANSITIONAL CARE SERVICES LLC",11/14/2022,11/08/2022,1630.71
2022110711800146066559970,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","MEDICAL CARE ONE PLC",11/14/2022,11/08/2022,1450.00
2022110710600372066558573,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","ROSEVILLE URGENT CARE PC",11/14/2022,11/08/2022,1120.00
2022110711300310063663926,"BLUE CARE NETWORK OF MICHIGAN","SOUTHFIELD CITY URGENT CARE PC",11/14/2022,11/08/2022,5896.45
2022110710800439063666463,"BLUE CARE NETWORK OF MICHIGAN","REGENDRA MEHTA MD PC",11/14/2022,11/08/2022,3556.22
2022110712000429066558615,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","SOUTHFIELD CITY URGENT CARE PC",11/14/2022,11/08/2022,718.73
2022110710100024063661057,"BLUE CARE NETWORK OF MICHIGAN","LIVINGSTON INTERNAL MEDICINE,PC",11/14/2022,11/08/2022,283.84
2022110712900165066558981,"BLUE CARE NETWORK OF MICHIGAN - SELF-FUNDED","OAK PARK URGENT CARE PLLC",11/14/2022,11/08/2022,990.00
2022110710800354063666403,"BLUE CARE NETWORK OF MICHIGAN","MEDICAL CARE ONE PLC",11/14/2022,11/08/2022,1097.50
2022110712000344063665488,"BLUE CARE NETWORK OF MICHIGAN","BLOOMFIELD URGENT CARE PLLC",11/14/2022,11/08/2022,490.33
2022110711200337063664631,"BLUE CARE NETWORK OF MICHIGAN","OAK PARK URGENT CARE PLLC",11/14/2022,11/08/2022,2576.52
014870100492221,"HUMANA INC.","ROSEVILLE URGENT CARE PC",11/14/2022,11/10/2022,73.75
014870100492605,"HUMANA INC.","ROSEVILLE URGENT CARE PC",11/15/2022,11/11/2022,179.36
507939536,"BCBSM","SOUTHFIELD CITY URGENT CARE PC",11/16/2022,11/12/2022,7734.55
507940443,"BCBSM","LIVINGSTON INTERNAL MEDICINE P",11/16/2022,11/12/2022,972.47
507941232,"BCBSM","BEST CARE PLLC",11/16/2022,11/12/2022,146.43
507942137,"BCBSM","OAK PARK URGENT CARE PLLC",11/16/2022,11/12/2022,9122.59
507941233,"BCBSM","BEST CARE PLLC",11/16/2022,11/12/2022,2980.12
507942763,"BCBSM","BLOOMFIELD URGENT CARE PLLC",11/16/2022,11/12/2022,114.55
507939535,"BCBSM","SOUTHFIELD CITY URGENT CARE PC",11/16/2022,11/12/2022,527.55
507942135,"BCBSM","OAK PARK URGENT CARE PLLC",11/16/2022,11/12/2022,159.55
507942764,"BCBSM","BLOOMFIELD URGENT CARE PLLC",11/16/2022,11/12/2022,1481.37
507937134,"BCBSM","ROSEVILLE URGENT CARE PC",11/16/2022,11/12/2022,5102.44
507937051,"BCBSM","ROSEVILLE URGENT CARE PC",11/16/2022,11/12/2022,710.42
507943190,"BCBSM","LAITH POTROUS MD PLLC",11/16/2022,11/12/2022,616.45
507943538,"BCBSM","MEDICAL CARE ONE PLC",11/16/2022,11/12/2022,2153.01
507943593,"BCBSM","TRANSITIONAL CARE SERVICES LLC",11/16/2022,11/12/2022,2900.29
507943594,"BCBSM","TRANSITIONAL CARE SERVICES LLC",11/16/2022,11/12/2022,1659.89
507946985,"BCBSM","REGENDRA MEHTA MD PC",11/16/2022,11/12/2022,5008.15
